id,label,statement,subjects,speaker,job_title,state,party,barely_true_count,false_count,half_true_count,mostly_true_count,pants_fire_count,context,binary_label,prediction,confidence,statement_length,length_bucket,primary_subject
7418.json,mostly-true,"Says, when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement deficit.","debt,deficit,state-budget",jon-bramnick,State Assemblyman,New Jersey,republican,1.0,0.0,0.0,1.0,0.0,"a panel discussion for ""On The Record with Michael Aron""",TRUE,FALSE,0.5498044057781697,19,11-20,debt
11796.json,half-true,Says a Ted Cruz ad has got me bull-dozing down a house.I never bulldozed it down. Its false advertising.,housing,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"an interview on NBC's ""Meet the Press""",TRUE,FALSE,0.679714450712685,19,11-20,housing
9521.json,half-true,Says 95 percent of people caught crossing the U.S.-Mexico border said in a survey we are coming because weve been promised amnesty.,immigration,ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,a press conference ,TRUE,FALSE,0.6589658194608131,22,21-40,immigration
11805.json,true,"Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.",guns,virginia-center-public-safety,unknown,Virginia,organization,0.0,0.0,0.0,0.0,0.0,a rally flier,TRUE,FALSE,0.5047915009402313,30,21-40,guns
805.json,mostly-true,Obama said he would unilaterally renegotiate the North American Free Trade Agreement.,foreign-policy,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"Hempstead, N.Y.",TRUE,FALSE,0.5029410846329301,12,11-20,foreign-policy
139.json,mostly-true,"He received ""A"" ratings from ""every conservative organization that gives ratings.""",job-accomplishments,tom-tancredo,U.S. representative,Colorado,republican,2.0,4.0,1.0,1.0,0.0,"a Republican debate in Orlando, Fla.",TRUE,FALSE,0.6956172456909746,11,11-20,job-accomplishments
688.json,false,"He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' ",candidates-biography,fred-thompson,Actor,Tennessee,republican,1.0,4.0,3.0,3.0,0.0,a speech at the Republican National Convention,FALSE,TRUE,0.6683328328001885,21,21-40,candidates-biography
3575.json,true,On federal stimulus money for expanding rail service.,"federal-budget,state-budget,stimulus,transportation",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,an announcement of an application for federal stimulus money for rail,TRUE,FALSE,0.6375158516819677,8,0-10,federal-budget
12994.json,mostly-true,"The Clinton Foundation is a charity where President and Secretary Clinton and their daughter, they take no salary, they get no money from it, they take no personal benefit from it.","candidates-biography,ethics",hilary-rosen,unknown,unknown,democrat,0.0,0.0,0.0,2.0,0.0,The Diane Rehm Show,TRUE,FALSE,0.5191352464530046,31,21-40,candidates-biography
9891.json,half-true,Saturday Night Live executive producer Lorne Michaels could be put in jail under this amendment for making fun of any politician.,"campaign-finance,legal-issues",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,a Senate floor speech,TRUE,FALSE,0.8114709084921408,21,21-40,campaign-finance
1971.json,false,"When he worked for ATT, he ""was responsible for large parts in a $5 billion organization.""",job-accomplishments,john-albers,unknown,unknown,republican,0.0,1.0,0.0,1.0,0.0,unknown,FALSE,TRUE,0.5522393569904007,16,11-20,job-accomplishments
8963.json,pants-fire,Mitch McConnell voted with Harry Reid to infringe on our gun rights.,"congress,guns",matt-bevin,Investment manager,Kentucky,republican,0.0,1.0,0.0,1.0,1.0,a television ad,FALSE,TRUE,0.7300996844072828,12,11-20,congress
8151.json,false,"Of the roughly 15 percent of Americans who dont have health insurance, half of them made more than $50,000 a year.","health-care,income",rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7.0,8.0,10.0,12.0,3.0,"an interview on Comedy Central's ""The Daily Show""",FALSE,TRUE,0.9077620395463853,21,21-40,health-care
6236.json,barely-true,"The United States can immediately tap a domestic energy resource of more than 1.5 trillion barrels of oil, six times more than Saudi Arabia.","climate-change,energy,environment,foreign-policy,gas-prices",eric-hovde,unknown,unknown,republican,2.0,3.0,3.0,0.0,0.0,a news release,FALSE,TRUE,0.5248309181145687,24,21-40,climate-change
6879.json,barely-true,We need a Senator who shows up to work. Sherrod Brown missed over 350 official votes.,"job-accomplishments,message-machine-2012,campaign-advertising,voting-record",josh-mandel,Ohio treasurer,Ohio,republican,4.0,5.0,4.0,5.0,6.0,a campaign commercial,FALSE,TRUE,0.5616113009020559,16,11-20,job-accomplishments
737.json,false,"McCain ""has opposed stem cell research.""",health-care,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a radio ad,FALSE,TRUE,0.6681234679423919,6,0-10,health-care
10516.json,mostly-true,Austin has more lobbyists working for it than any other municipality in Texas.,"city-government,ethics",dave-claunch,Businessman,Texas,none,0.0,0.0,0.0,1.0,0.0,a meeting of the West Lake Hills City Council,TRUE,FALSE,0.5123027114304435,13,11-20,city-government
729.json,half-true,On whether the government should bail out insurance giant AIG.,"corporations,economy",john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,unknown,TRUE,FALSE,0.6888962547859495,10,0-10,corporations
12702.json,pants-fire,The Cleveland police has issued a stand down order to officers.,public-safety,mike-cernovich,blogger,California,none,0.0,0.0,0.0,0.0,1.0,his blog,FALSE,TRUE,0.509103407888223,11,11-20,public-safety
8901.json,true,"The Keystone pipeline creates 35 permanent jobs after construction, according to a government report.","energy,environment",van-jones,"Co-host of CNN's ""Crossfire""","Washington, D.C.",democrat,0.0,1.0,2.0,2.0,0.0,"a segment on CNN's ""Crossfire""",TRUE,FALSE,0.5068523473969728,14,11-20,energy
1353.json,barely-true,We're going to have more troops (in Afghanistan) . . . than the Russians had.,afghanistan,john-murtha,unknown,unknown,democrat,1.0,0.0,0.0,0.0,0.0,the show 'Hardball With Chris Matthews',FALSE,TRUE,0.5036787072811576,15,11-20,afghanistan
12158.json,barely-true,Florida is investing record amounts of funding for HIV/AIDS prevention.,"public-health,state-budget",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a Tampa Bay Times interview,FALSE,TRUE,0.6762253275232387,10,0-10,public-health
10085.json,false,"All four on Mount Rushmore, they were all independents at one critical point in their career.","elections,history",larry-pressler,Candidate for U.S. Senate,South Dakota,independent,0.0,1.0,0.0,0.0,0.0,a campaign forum,FALSE,TRUE,0.8550494184548532,16,11-20,elections
6010.json,half-true,"More than 250 (voter registration) groups, ranging across the entire political spectrum, have filed with the state and are registering voters right now.",elections,lenny-curry,chairman of the Republican Party of Florida,Florida,republican,2.0,1.0,2.0,0.0,0.0,"an ""Orlando Sentinel"" opinion piece",TRUE,FALSE,0.711297619645426,23,21-40,elections
727.json,mostly-true,"Barack Obama got more campaign contributions from Fannie Mae and Freddie Mac ""than any other member of Congress, except for the Democratic chairmen of the committee that oversees them.""",ethics,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"Green Bay, Wis.",TRUE,FALSE,0.5392485453603479,29,21-40,ethics
42.json,barely-true,I brought down crime more than anyone in this country -- maybe in the history of this country -- while I was mayor of New York City. -,crime,rudy-giuliani,Attorney,New York,republican,9.0,11.0,10.0,7.0,3.0,"a debate in Orlando, Fla.",FALSE,TRUE,0.5296305361472219,28,21-40,crime
11351.json,mostly-true,A voucher school that closed after 9 days this year collected $5.4 million in taxpayer subsidies since first opening.,state-budget,jennifer-shilling,"State Assembly member, 95th District",Wisconsin,democrat,1.0,1.0,0.0,2.0,0.0,a tweet,TRUE,FALSE,0.6397301753009845,19,11-20,state-budget
8558.json,false,Rhode Islands unemployment insurance system is the most expensive such system in the country.,"economy,government-efficiency,government-regulation,small-business,state-budget,state-finances,states,taxes,workers",kenneth-block,businessman,unknown,republican,0.0,3.0,2.0,3.0,0.0,an interview on Rhode Island Public Radio,FALSE,TRUE,0.7277504812591574,14,11-20,economy
12084.json,true,"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, dragging the American flag on the ground like it was a piece of garbage.",elections,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"Donald Trump on Sunday, March 13th, 2016, in an interview on ""Meet the Press""",TRUE,FALSE,0.740438439284131,30,21-40,elections
9708.json,pants-fire,The United States is at historic record highs of individuals being apprehended on the border from countries with terrorist ties such as Pakistan or Afghanistan or Syria.,"afghanistan,immigration,terrorism",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,"comments on CNN's ""State of the Union""",FALSE,TRUE,0.8348904882506786,27,21-40,afghanistan
8549.json,barely-true,"Onion Creeks highest flow rate on a recent night of flooding was 120,000 cubic feet per second, which is nearly double the average flow rate of Niagara Falls.","corrections-and-updates,water",city-austin,unknown,Texas,none,1.0,0.0,0.0,0.0,0.0,a press release,FALSE,TRUE,0.7759919988120606,28,21-40,corrections-and-updates
12461.json,true,Sayvideo shows massive alligator strolling across Florida golf course.,animals,blog-posting,unknown,unknown,none,7.0,19.0,3.0,5.0,44.0,Internet posts,TRUE,FALSE,0.8827292797016847,9,0-10,animals
5985.json,false,"In 2011, Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections.","elections,legal-issues",anastasia-williams,State representative in Rhode Island,Rhode Island,democrat,0.0,1.0,0.0,0.0,0.0,a House Judiciary Committee hearing,FALSE,TRUE,0.516913438562365,20,11-20,elections
1881.json,barely-true,"Across the country, more than half of the U.S. attorney seats remain without a prosecutor chosen by Obama.",legal-issues,thomas-melsheimer,Attorney,Texas,democrat,1.0,0.0,0.0,0.0,0.0,an op-ed article,FALSE,TRUE,0.7526485130062781,18,11-20,legal-issues
204.json,false,The Red Sox waited 87 long years to win the World Series.,"baseball,recreation",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a debate in St. Petersburg,FALSE,TRUE,0.6937407186300154,12,11-20,baseball
1409.json,false,"The largest tax increase that we have ever had in our state is yours it is the business margins tax that you signed, governor.","corporations,economy,small-business,taxes",kay-bailey-hutchison,U.S. Senator,Texas,republican,2.0,4.0,4.0,3.0,0.0,in a Republican gubernatorial debate,FALSE,TRUE,0.5599865244557621,24,21-40,corporations
2600.json,mostly-true,"Says Tom Ganley has been sued over 400 times, for fraud, discrimination and more, and a judge called Tom Ganleys business practices deceptive and unconscionable.","job-accomplishments,message-machine",betty-sutton,U.S. representative from Ohio's 13th District,Ohio,democrat,0.0,2.0,1.0,2.0,1.0,a television campaign ad,TRUE,FALSE,0.7421117386995528,25,21-40,job-accomplishments
4822.json,half-true,A recall election for Wisconsin governor would cost $7.7 million -- $7.7 million that may already be allocated to merit raises for teachers or health care for the poor or school books for your kids.,"education,elections,health-care,state-budget",rebecca-kleefisch,Candidate for lieutenant governor,Wisconsin,republican,1.0,3.0,4.0,0.0,1.0,a video,TRUE,FALSE,0.5590803731680051,35,21-40,education
5536.json,half-true,Says my plan is a property tax cut.,"state-budget,taxes",stephen-sweeney,State Senator,unknown,democrat,1.0,2.0,3.0,1.0,0.0,an interview on NJToday,TRUE,FALSE,0.6379023987007422,8,0-10,state-budget
2911.json,false,We are giving almost $2 billion of taxpayer money to the junk food and fast food industries every year to make the (childhood obesity) epidemic worse.,"consumer-safety,food-safety,health-care,taxes",dennis-kucinich,U.S. representative,Ohio,democrat,1.0,3.0,4.0,6.0,0.0,a news release,FALSE,TRUE,0.7523285063902029,26,21-40,consumer-safety
12787.json,half-true,Not one American flag on the massive stage at the Democratic National Convention until people started complaining- then a small one. Pathetic.,patriotism,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a tweet,TRUE,FALSE,0.6772589155447701,22,21-40,patriotism
12006.json,false,There is a precedent for not nominating someone to the U.S. Supreme Court in the middle of a presidential election.,"congress,history,legal-issues,supreme-court",paul-ryan,U.S. Representative,Wisconsin,republican,19.0,6.0,16.0,14.0,2.0,an interview,FALSE,TRUE,0.5622504562968378,20,11-20,congress
921.json,false,"There is no disagreement that we need action by our government, a recovery plan that will help to jump-start the economy.","economy,stimulus",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a news conference,FALSE,TRUE,0.5487880686056323,21,21-40,economy
9141.json,barely-true,If you want out of the individual mandate... all you have to do now is tick off the box that says hardshipand youre out.,health-care,charles-krauthammer,unknown,unknown,none,1.0,0.0,1.0,0.0,0.0,"an interview on ""The O'Reilly Factor""",FALSE,TRUE,0.6881098771493642,24,21-40,health-care
12648.json,barely-true,"Many Nevadans relied on Uber for work, but after accepting $70,000 from taxi companies, Catherine Cortez Masto went after Uber ... (driving) them out of town.",transportation,freedom-partners-action-fund,unknown,unknown,organization,1.0,1.0,1.0,0.0,0.0,a television ad,FALSE,TRUE,0.5693878135160827,26,21-40,transportation
1892.json,true,The House has never failed to pass a budget in the modern era.,"federal-budget,abc-news-week",john-boehner,Speaker of the House of Representatives,Ohio,republican,13.0,22.0,11.0,4.0,2.0,"an interview on ABC's ""This Week''",TRUE,FALSE,0.6362621776602775,13,11-20,federal-budget
664.json,false,"McCain ""still thinks it's okay when women don't earn equal pay for equal work.""",legal-issues,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a speech at the Democratic National Convention.,FALSE,TRUE,0.7858902631674878,14,11-20,legal-issues
1199.json,true,"The Baucus bill ""contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion.""","abortion,health-care",national-right-life-committee,unknown,unknown,none,1.0,2.0,1.0,0.0,0.0,a press release,TRUE,FALSE,0.7495328880371941,25,21-40,abortion
11865.json,barely-true,Gene Green is the NRAs favorite Democrat in Congress. ... Its no wonder the congressman has a lifetime A rating from the NRA.,guns,adrian-garcia,29th Congressional District candidate,Texas,democrat,1.0,0.0,0.0,0.0,0.0,a campaign news release,FALSE,TRUE,0.53312586372266,23,21-40,guns
3021.json,true,State governments have little ability to stimulate job growth in the short run.,economy,david-wyss,unknown,unknown,none,0.0,0.0,0.0,0.0,0.0,a newspaper article,TRUE,FALSE,0.5376948554126685,13,11-20,economy
683.json,true,"Sarah Palin ""already has more executive experience"" than Barack Obama and Joe Biden ""combined.""",candidates-biography,rudy-giuliani,Attorney,New York,republican,9.0,11.0,10.0,7.0,3.0,"St. Paul, Minn.",TRUE,FALSE,0.8597777511253352,14,11-20,candidates-biography
11687.json,mostly-true,"Two months ago, Donald Trump said that ISIS was not our fight.","foreign-policy,terrorism",jeb-bush,unknown,Florida,republican,17.0,5.0,17.0,24.0,2.0,a GOP debate on CNN,TRUE,FALSE,0.7251717142698109,12,11-20,foreign-policy
3991.json,half-true,Says critics who say he cut Medicaid are wrong; his budget added $1.2 billion to the program,"medicaid,state-budget,state-finances",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a television interview,TRUE,FALSE,0.5062895253210544,17,11-20,medicaid
10749.json,barely-true,$29 is what families on SNAP (i.e. food stamps) have to live on for a week.,"federal-budget,hunger",gwyneth-paltrow,Actress,California,democrat,1.0,0.0,0.0,0.0,0.0,a tweet,FALSE,TRUE,0.7504389144506065,16,11-20,federal-budget
6290.json,half-true,Sherrod Brown and his special interest allies in Washington are plotting to spend over $13 million to defeat Josh Mandel.,"campaign-finance,elections",ohio-republican-party,unknown,Ohio,republican,2.0,2.0,2.0,1.0,0.0,an emailed statement,TRUE,FALSE,0.5496324540929212,20,11-20,campaign-finance
10881.json,mostly-true,Says Gov. Scott Walkers proposed state budget contained 110 pages of errors -- an unusually high number -- and millions of dollars worth of mistakes that were corrected with a follow-up document.,state-budget,chris-taylor,unknown,unknown,democrat,1.0,0.0,0.0,1.0,0.0,a press release,TRUE,FALSE,0.5193100762201299,32,21-40,state-budget
4396.json,mostly-true,Takes credit for substantially reducing the size of the state workforce.,"job-accomplishments,jobs",george-allen,consultant,Virginia,republican,2.0,8.0,3.0,4.0,1.0,campaign literature.,TRUE,FALSE,0.565729808813649,11,11-20,job-accomplishments
1394.json,false,"Says Rick Perrys Pay to Play politics led him to send $899 million to an offshore call center in Bermuda, driving down enrollment in childrens health insurance",health-care,texas-democratic-party,Political party,Texas,democrat,0.0,1.0,0.0,2.0,0.0,news release,FALSE,TRUE,0.8372582645112068,27,21-40,health-care
4770.json,barely-true,"President Barack Obama, Nancy Pelosi and Harry Reid support Rick Perrys decision to give in-state tuition to illegal immigrants.","education,immigration",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a campaign video.,FALSE,TRUE,0.7557151762240776,19,11-20,education
1052.json,true,Obama has more czars than the Romanovs.,pop-culture,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,a Twitter message,TRUE,FALSE,0.7917939697066261,7,0-10,pop-culture
3700.json,false,A [bank] surveillance camera capturing a criminals face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.,"crime,criminal-justice",stephen-ucci,Rhode Island legislator,Rhode Island,democrat,0.0,1.0,0.0,0.0,0.0,a news release,FALSE,TRUE,0.5970743326430032,24,21-40,crime
12798.json,barely-true,Says Donald Trump and Mike Pence want to gamble with your retirement benefits in the stock market.,"retirement,social-security",harry-reid,Senate Democratic Leader,Nevada,democrat,4.0,5.0,3.0,7.0,3.0,a speech at the DNC,FALSE,TRUE,0.6536376753887847,17,11-20,retirement
13527.json,false,Theres been no conclusive or specific report to say Russia was trying to muddy the election.,"elections,foreign-policy",reince-priebus,"Chairman, Republican National Committee",Wisconsin,republican,2.0,12.0,8.0,3.0,1.0,"comments on ""Meet the Press""",FALSE,TRUE,0.6104794114261426,16,11-20,elections
2626.json,false,Says Christopher Little has a history of working against environmental protection by defending the worst types of corporate polluters,"candidates-biography,elections,environment,legal-issues",edwin-pacheco,Democratic party chairman,Rhode Island,democrat,0.0,1.0,0.0,0.0,0.0,a press release from the Rhode Island Democratic Party,FALSE,TRUE,0.5269633373793291,19,11-20,candidates-biography
487.json,barely-true,"The White House is won in the swing states, and I am winning the swing states.",elections,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"a speech in Charleston, W.Va.",FALSE,TRUE,0.7688498672523505,16,11-20,elections
6858.json,mostly-true,"Says opponent U.S. Rep. Gwen Moore is Wisconsins most absent member of Congress, missing nearly 17 percent of the House votes in the second quarter of 2012.",voting-record,dan-sebring,Auto repair shop owner,Wisconsin,republican,0.0,0.0,0.0,1.0,0.0,a radio ad,TRUE,FALSE,0.5802408393453922,27,21-40,voting-record
10606.json,barely-true,Eliminating affirmative action in admissions in Florida led to more African American and Hispanic kids attending our university system than before.,education,jeb-bush,unknown,Florida,republican,17.0,5.0,17.0,24.0,2.0,a CPAC appearance,FALSE,TRUE,0.76499998853736,21,21-40,education
12065.json,true,The U.S. doesnt make television sets anymore.,"technology,trade",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a campaign speech,TRUE,FALSE,0.811536934561329,7,0-10,technology
13305.json,true,Heroin .. pours across our southern borders.,drugs,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,the third presidential debate,TRUE,FALSE,0.6868712703127697,7,0-10,drugs
2793.json,mostly-true,"Says hes arrested more criminals, including thousands of child predators and sex offenders, than any previous Texas attorney general.","crime,criminal-justice,job-accomplishments,public-safety",greg-abbott,governor,Texas,republican,11.0,3.0,8.0,6.0,5.0,a campaign television ad,TRUE,FALSE,0.5117938558782654,19,11-20,crime
5898.json,barely-true,"Sources show (Connie) Mack as a resident of California, living with his wife in Palm Springs.",candidates-biography,george-lemieux,unknown,Florida,republican,4.0,1.0,6.0,4.0,0.0,a Web ad,FALSE,TRUE,0.6045798040715589,16,11-20,candidates-biography
5462.json,false,"Says Ohio Rep. Marcy Kaptur actually lives in a fancy condo in the Washington, D.C. suburbs.","congress,elections,job-accomplishments,message-machine-2012",campaign-primary-accountability,Political action committee,Texas,none,0.0,1.0,0.0,0.0,0.0,a campaign commercial,FALSE,TRUE,0.6174961666612819,16,11-20,congress
4425.json,barely-true,"Since the beginning of the year weve created a net increase of 45,000 jobs.","economy,jobs",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9.0,8.0,10.0,18.0,3.0,a television interview,FALSE,TRUE,0.7843638601823034,14,11-20,economy
2341.json,mostly-true,My supporters arent special interest groups in Madison and Milwaukee.,campaign-finance,mark-neumann,Developer and homebuilder,Wisconsin,republican,2.0,4.0,1.0,2.0,1.0,a campaign radio ad,TRUE,FALSE,0.6648922756374147,10,0-10,campaign-finance
5551.json,half-true,"While 9,000 state employees were added to the states payroll, Oregons revenue forecasts dropped by more than $4 billion.","state-budget,state-finances",dennis-richardson,state representative,Oregon,republican,0.0,4.0,1.0,2.0,0.0,a newsletter,TRUE,FALSE,0.6733130194222247,19,11-20,state-budget
757.json,half-true,John McCain fought to rein in Fannie and Freddie...but Democrats blocked the reforms.,economy,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,an advertisement,TRUE,FALSE,0.5361847320190778,13,11-20,economy
2284.json,pants-fire,The government is trying to now close the Lincoln Memorial for any kind of large gatherings.,"civil-rights,pundits",glenn-beck,unknown,unknown,none,5.0,7.0,7.0,2.0,6.0,comments on his radio program,FALSE,TRUE,0.5233668646923378,16,11-20,civil-rights
9480.json,barely-true,The average age of the minimum wage worker is 35 years old.,"corporations,economy,government-regulation,income,labor,poverty,states,wealth,workers",erin-lynch,"Rhode Island state senator, lawyer",Rhode Island,democrat,1.0,0.0,0.0,0.0,0.0,a speech on the floor of the Rhode Island Senate,FALSE,TRUE,0.5590164791472783,12,11-20,corporations
6772.json,pants-fire,Says One of the states largest governments made charging this tax one of their top priorities just this year.,"message-machine-2012,taxes",Yes-on-79,unknown,Oregon,none,0.0,0.0,1.0,0.0,1.0,a state voters' pamphlet argument,FALSE,TRUE,0.6499796954502456,19,11-20,message-machine-2012
9629.json,mostly-true,"In Syria, we struck a deal where we got 100 percent of the chemical weapons out.",foreign-policy,john-kerry,Secretary of State,Massachusetts,democrat,3.0,2.0,2.0,5.0,0.0,"comments on NBC's ""Meet the Press""",TRUE,FALSE,0.5470956120550929,16,11-20,foreign-policy
11327.json,mostly-true,"We had a three-hour debate, no discussion about the national debt, very little about the economy.","debates,elections",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,"an interview on ""This Week.""",TRUE,FALSE,0.5658291537828336,16,11-20,debates
9622.json,true,More women are graduating from college now than men.,"education,women",mitch-mcconnell,Senate minority leader,Kentucky,republican,7.0,6.0,5.0,7.0,0.0,remarks to voters in Kentucky,TRUE,FALSE,0.6925284625371391,9,0-10,education
7344.json,barely-true,Were taxing our small businesses now at rates higher than corporations.,"corporations,small-business,taxes",paul-ryan,U.S. Representative,Wisconsin,republican,19.0,6.0,16.0,14.0,2.0,an interview,FALSE,TRUE,0.6007990348863066,11,11-20,corporations
5993.json,pants-fire,Says Larry Taylor gave in-state tuition to illegal immigrants.,"education,immigration",conservative-voters-texas-pac,unknown,unknown,none,0.0,0.0,0.0,0.0,1.0,whylarrywhy.com,FALSE,TRUE,0.5132219294978386,9,0-10,education
11025.json,false,Six thousand people have sought addiction treatment through expanded Medicaid.,"bipartisanship,drugs,medicaid",maggie-hassan,Candidate for governor,New Hampshire,democrat,1.0,2.0,2.0,4.0,0.0,her State of the State speech in Nashua,FALSE,TRUE,0.774586353555186,10,0-10,bipartisanship
2719.json,barely-true,"Of those 850,000 (new Texas) jobs, most were public-sector jobs and minimum-wage jobs.","economy,jobs",bill-white,Former mayor of Houston,Texas,democrat,2.0,3.0,5.0,7.0,3.0,an interview,FALSE,TRUE,0.8541861564653205,13,11-20,economy
7211.json,false,The problem with raising tax rates on the wealthiest Americans is that more than half of them are small business owners.,"deficit,federal-budget,taxes",john-boehner,Speaker of the House of Representatives,Ohio,republican,13.0,22.0,11.0,4.0,2.0,a news conference,FALSE,TRUE,0.5332179657777402,21,21-40,deficit
1480.json,barely-true,"Franklin Roosevelt never allocated more than 12 percent of GDP to federal spending, while the percentage for Barack Obama is not projected to drop below 22.8 percent.","federal-budget,pundits",glenn-beck,unknown,unknown,none,5.0,7.0,7.0,2.0,6.0,a commentary on Fox News Channel's 'Glenn Beck Program',FALSE,TRUE,0.7961038465182922,27,21-40,federal-budget
1512.json,half-true,Fifty-seven of Rubios 100 ideas ultimately became law.,"candidates-biography,florida",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,his campaign Web site,TRUE,FALSE,0.5359513271375762,8,0-10,candidates-biography
474.json,barely-true,Clinton aides admit it (a gas tax holiday) won't do much for you but would help her politically.,energy,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,in a television ad,FALSE,TRUE,0.7547779014748283,18,11-20,energy
10646.json,pants-fire,Creflo Dollar needed a $65 million Gulfstream G650 to carry thousands of pounds of food and other supplies -- as well as the Word of God -- worldwide.,"religion,transparency",juda-engelmayer,New York publicist,Georgia,none,0.0,0.0,0.0,0.0,1.0,interviews,FALSE,TRUE,0.8408576639682898,28,21-40,religion
9731.json,barely-true,All Aboard Florida is a 100 percent private venture. There is no state money involved.,"state-budget,transportation",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a TV interview,FALSE,TRUE,0.7059659685594785,15,11-20,state-budget
12026.json,half-true,On ending stop and frisk,public-safety,jim-kenney,Philadelphia Mayor,Pennsylvania,democrat,1.0,0.0,1.0,0.0,0.0,Philadelphia Mayor Jim Kenney clarified his stance on stop and frisk to the Al Día editorial board.,TRUE,FALSE,0.5633758019453321,5,0-10,public-safety
5971.json,false,Says under President Barack Obama theres been the lowest discretionary spending weve had in decades in the United States.,federal-budget,cory-booker,U.S. senator,New Jersey,democrat,0.0,4.0,2.0,8.0,0.0,a roundtable discussion on NBC’s “Meet The Press”,FALSE,TRUE,0.8477642827800491,19,11-20,federal-budget
11832.json,pants-fire,Youve been tremendously deceived by people who say the Earth is not flat.,"corrections-and-updates,science,space",bob,Hip hop artist,unknown,none,0.0,0.0,0.0,0.0,1.0,in a Jan. 25 tweet,FALSE,TRUE,0.52679004840729,13,11-20,corrections-and-updates
2337.json,half-true,Jennifer Carrolls an outsider.,"candidates-biography,elections",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a press conference.,TRUE,FALSE,0.5394823741879191,4,0-10,candidates-biography
10853.json,false,Hedge fund managers pay less in taxes than nurses and truck drivers.,"economy,income,jobs,taxes",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"an appearance in Mason City, Iowa",FALSE,TRUE,0.6601122269840434,12,11-20,economy
9756.json,half-true,Says Mitch McConnell voted two times against the Violence Against Women Act.,"crime,criminal-justice,message-machine-2014,women",alison-lundergan-grimes,Secretary of State,Kentucky,democrat,2.0,2.0,3.0,1.0,0.0,a campaign ad,TRUE,FALSE,0.6921098879080966,12,11-20,crime
3648.json,false,"In early voting in Miami-Dade County, there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open.","elections,florida",miguel-diaz-de-la-portilla,State Senator District 36,Florida,republican,0.0,1.0,0.0,0.0,0.0,a Senate Rules Committee meeting,FALSE,TRUE,0.6515699040809729,30,21-40,elections
4715.json,half-true,"Says Mitt Romneys housing policy is, Dont try and stop the foreclosure process. Let it run its course and hit the bottom.","housing,message-machine-2012",democratic-national-committee,unknown,unknown,none,8.0,2.0,10.0,8.0,0.0,a campaign ad,TRUE,FALSE,0.7752010476877923,22,21-40,housing
526.json,barely-true,"In just a few years in office, Sen. Obama has accumulated the most liberal voting record in the Senate.",candidates-biography,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,a speech in New Orleans,FALSE,TRUE,0.596436679346316,19,11-20,candidates-biography
